Only200ResponseTime,Non200ResponseTime
      540,        0
      520,        0
      530,        0
      527,        0
      548,        0
      538,        0
      540,        0
      529,        0
      550,        0
      808,      549
     1107,     1001
     1150,      996
     1266,      730
     1418,      369
     1348,      169
     1040,       50
      769,       11
      674,        0
      642,        0
      651,        0
      649,        0
      665,        0
      641,        0
      647,        0
      658,        0
      649,        0
         
         
         
         
         
